,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,БЮДЖЕТ ДОХОДОВ И РАСХОДОВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Утрау ГОД 2026,,,,Утрау ЯНВАРЬ,,,,Утрау ФЕВРАЛЬ,,,,Утрау МАРТ,,,,Утрау АПРЕЛЬ,,,,Утрау МАЙ,,,,Утрау ИЮНЬ,,,,Утрау ИЮЛЬ,,,,Утрау АВГУСТ,,,,Утрау СЕНТЯБРЬ,,,,Утрау ОКТЯБРЬ,,,,Утрау НОЯБРЬ,,,,Утрау ДЕКАБРЬ,,,
,,ПОЯСНЕНИЯ ,Факт год  2025,ПЛАН год 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026"
1.1.2.,Проживание доп места,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.3.,Доходы от сертификатов,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.4.,Пляж,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.5.,Аренда мангальной зоны,,270 350,560 600,328 300,207%,23 000,57 600,57 600,250%,33 100,38 000,63 500,115%,9 000,35 000,49 000,389%,11 000,30 000,59 000,273%,16 400,40 000,99200,244%,9 000,60 000,,667%,23 000,60 000,,261%,13 000,60 000,,462%,9 000,35 000,,389%,25 500,30 000,,118%,70 350,80 000,,114%,28 000,35 000,,125%
1.1.6.,Прочие услуги,,704 310,735 100,237 340,104%,88 500,38 100,38 100,43%,77 100,100 000,77 340,130%,37 700,50 000,38 900,133%,55 400,75 000,4 200,135%,50 200,70 000,78800,139%,74 800,20 000,,27%,69 150,80 000,,116%,69 800,82 000,,117%,44 000,65 000,,148%,35 100,40 000,,114%,69 360,75 000,,108%,33 200,40 000,,120%
1.2.,F&B,4 000 000,61 932 786,66 022 049,15 961 555,107%,4 721 628,3 771 249,3 771 249,80%,2 583 792,2 585 000,2 476 713,100%,4 017 449,3 350 000,3 474 438,83%,3 523 021,2 950 000,2 294 873,84%,5 625 015,4 910 000,4 052 282,87%,7 549 070,7 540 000,0,100%,10 233 617,9 820 800,0,96%,10 218 271,10 980 000,0,107%,5 206 564,7 105 000,0,136%,3 125 971,4 155 000,0,133%,2 688 288,3 955 000,0,147%,2 440 100,4 900 000,0,201%
1.2.1.,Основная деятельность,,18 899 892,23 906 059,6 888 195,126%,1 558 309,1 585 259,1 585 259,102%,1 276 492,1 205 000,1 102 313,94%,1 297 917,1 330 000,1 592 448,102%,915 658,1 185 000,922 613,129%,1 579 274,1 900 000,1 793 562,120%,1 813 223,2 850 000,0,157%,2 971 877,3 450 800,0,116%,2 953 193,3 530 000,0,120%,1 125 170,1 750 000,0,156%,1 480 907,1 710 000,0,115%,1 111 081,1 640 000,0,148%,816 791,1 770 000,0,217%
1.2.1.1,Доходы Ресторан а-ля карт,27 906 059,15 833 539,19 507 304,5 369 672,123%,1 353 406,1 226 504,1 226 504,91%,1 059 270,975 000,838 696,92%,1 101 458,1 105 000,1 294 208,100%,821 575,980 000,714 902,119%,1 308 992,1 520 000,1 295 362,116%,1 548 366,2 400 000,,155%,2 509 014,2 800 800,,112%,2 432 928,2 850 000,,117%,905 981,1 400 000,,155%,1 212 632,1 400 000,,115%,903 173,1 350 000,,149%,676 744,1 500 000,,222%
1.2.1.2,Доходы  бар,,3 066 353,4 398 755,1 518 523,143%,204 903,358 755,358 755,175%,217 222,230 000,263 617,106%,196 459,225 000,298 240,115%,94 083,205 000,207 711,218%,270 282,380 000,390 200,141%,264 857,450 000,,170%,462 863,650 000,,140%,520 265,680 000,,131%,219 189,350 000,,160%,268 275,310 000,,116%,207 908,290 000,,139%,140 047,270 000,,193%
1.2.1.3,Доходы  летний  бар,,,,,,,,,,,,,,,,,,,,,,,100 000,108 000,,,150 000,,,,180 000,,,,150 000,,,,70 000,,,,,,,,,,,,,,
1.2.2.,Питание вкл.в проживание,,30 260 900,26 056 000,7 219 700,86%,1 403 000,1 346 000,1 346 000,96%,1 282 800,1 150 000,1 374 400,90%,2 539 000,1 450 000,1 523 600,57%,2 350 000,1 380 000,1 195 200,59%,3 864 000,2 140 000,1 780 500,55%,4 060 000,2 840 000,0,70%,5 649 200,3 300 000,0,58%,3 754 600,3 350 000,0,89%,1 605 300,2 500 000,0,156%,1 355 000,2 100 000,0,155%,1 390 000,2 100 000,0,151%,1 008 000,2 400 000,0,238%
1.2.2.1,"Завтраки, обеды, ужины ресторан",,30 260 900,26 056 000,7 219 700,86%,1 403 000,1 346 000,1 346 000,96%,1 282 800,1 150 000,1 374 400,90%,2 539 000,1 450 000,1 523 600,57%,2 350 000,1 380 000,1 195 200,59%,3 864 000,2 140 000,1 780 500,55%,4 060 000,2 840 000,,70%,5 649 200,3 300 000,,58%,3 754 600,3 350 000,,89%,1 605 300,2 500 000,,156%,1 355 000,2 100 000,,155%,1 390 000,2 100 000,,151%,1 008 000,2 400 000,,238%
1.2.2.2.,"Прочее питание (мини-бар, рум-сервис)",,0,0,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3.,Банкетное обслуживание (еда+напитки),,12 119 596,15 492 400,1 781 070,128%,1 708 587,827 400,827 400,48%,,200 000,,,119 082,500 000,358 390,420%,224 563,350 000,177 060,156%,121 261,800 000,418 220,660%,1 463 487,1 800 000,,123%,1 553 040,3 000 000,,193%,3 465 728,4 000 000,,115%,2 429 209,2 800 000,,115%,269 584,315 000,,117%,156 036,180 000,,115%,609 019,720 000,,118%
1.2.3.А,Банкетное обслуживание (аренда),,207 922,60 000,60 000,29%,9 172,,,0%,500,0,,0%,,,,,,,,,,0,60 000,,170 000,,,0%,6 000,10 000,,167%,18 750,50 000,,267%,500,,,0%,,,,,1 500,,,0%,1 500,,,0%
1.2.4.,Организация мероприятий(прочие),,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.5.,Доходы от сертификатов,,444 476,507 590,12 590,114%,42 560,12 590,12 590,30%,24 000,30 000,,125%,61 450,70 000,,114%,32 800,35 000,,107%,60 480,70 000,,116%,42 360,50 000,,118%,53 500,60 000,,112%,26 000,50 000,,192%,46 385,55 000,,119%,20 480,30 000,,146%,29 671,35 000,,118%,4 790,10 000,,209%
1.3.,Продажа сопутствующих товаров,,55 090,153 250,34 300,278%,4 050,1 050,500,26%,2 150,10 500,6 050,488%,2 500,10 000,10 700,400%,7 240,15 000,7 050,207%,11 160,25 200,10 000,226%,7 390,20 000,,271%,1 700,1 500,,88%,2 000,15 000,,750%,3 000,15 000,,500%,1 300,10 000,,769%,10 950,20 000,,183%,1 650,10 000,,606%
1.4.,SPA,,15 088 700,16 112 100,4 515 200,107%,1 774 300,1 028 100,1 028 100,58%,1 315 550,998 000,794 400,76%,1 141 200,935 000,880 600,82%,879 800,906 000,700 200,103%,1 280 900,1 232 000,1 111 900,96%,1 276 600,1 520 000,0,119%,2 142 600,2 388 000,0,111%,1 959 700,2 250 000,0,115%,909 000,1 290 000,0,142%,955 760,1 240 000,0,130%,850 690,1 145 000,0,135%,602 600,1 180 000,0,196%
1.4.1.,Посещение банного комплекса,,13 338 850,13 588 600,3 787 200,102%,1 599 800,973 600,973 600,61%,1 114 850,800 000,662 900,72%,990 100,730 000,718 100,74%,715 900,680 000,580 200,95%,1 177 800,1 050 000,852 400,89%,1 137 200,1 300 000,,114%,1 915 200,2 100 000,,110%,1 695 400,1 950 000,,115%,877 000,1 100 000,,125%,795 100,975 000,,123%,743 900,940 000,,126%,576 600,990 000,,172%
1.4.2.,Массажный кабинет,,713 970,1 049 000,386 000,147%,30 400,16 000,16 000,53%,52 700,60 000,89 500,114%,98 000,90 000,37 500,92%,66 900,75 000,83 000,112%,103 100,120 000,160 000,116%,111 000,120 000,,108%,165 000,170 000,,103%,66 500,78 000,,117%,,80 000,,,20 370,70 000,,344%,,70 000,,,0,100 000,,
1.4.3.,Парения,,724 280,806 500,107 000,111%,77 500,9 500,9 500,12%,82 000,90 000,9 000,110%,40 100,45 000,29 000,112%,84 000,95 000,3 500,113%,,20 000,56 000,,28 400,30 000,,106%,56 400,62 000,,110%,129 800,140 000,,108%,28 000,50 000,,179%,140 290,150 000,,107%,57 790,65 000,,112%,,50 000,,
1.4.4.,Панорамная баня,,232 600,513 000,232 000,221%,55 600,26 000,26 000,47%,47 000,33 000,33 000,70%,10 000,55 000,96 000,550%,10 000,44 000,33 500,440%,,33 000,43 500,,,55 000,,,,44 000,,,50 000,60 000,,120%,,50 000,,,,33 000,,,40 000,50 000,,125%,20 000,30 000,,150%
1.4.5.,Прочие услуги (джакузи),,79 000,155 000,3 000,196%,11 000,3 000,3 000,27%,19 000,15 000,,79%,3 000,15 000,,500%,3 000,12 000,,400%,0,9 000,,,0,15 000,,,6 000,12 000,,200%,18 000,22 000,,122%,4 000,10 000,,250%,0,12 000,,,9 000,20 000,,222%,6 000,10 000,,167%
1.5.,Прочие доходы (развлечения),,264 200,2 495 000,390 000,944%,8 500,8 000,8 000,94%,1 500,18 000,0,1200%,5 600,8 000,0,143%,0,10 000,17 900,,0,125 000,376 250,,29 600,530 000,0,1791%,105 500,810 000,0,768%,74 500,690 000,0,926%,24 000,200 000,0,833%,5 000,30 000,0,600%,10 000,8 000,0,80%,0,58 000,0,
1.5.1.,Катер,,65 000,770 000,60 000,1185%,,,,,,0,0,,,,,,,0,,,,50 000,60 000,,15 000,150 000,,1000%,25 000,300 000,,1200%,15 000,200 000,,1333%,10 000,70 000,,700%,,,,,,,,,,,,
1.5.2.,Яхта,,60 000,270 000,0,450%,,,,,0,0,0,,0,0,,,0,0,,,0,,,,0,70 000,,,20 000,100 000,,500%,40 000,80 000,,200%,0,20 000,,,0,0,,,0,0,,,0,0,,
1.5.3.,Сап борды,,61 000,400 000,16 000,656%,,,,,0,,,,,,,,,,,,,,16 000,,7 000,100 000,,1429%,34 500,150 000,,435%,19 500,150 000,,769%,,,,,,,,,,,,,,,,
1.5.4.,Гидроциклы,,0,90 000,241 500,,,,,,,,,,,,,,,,,,,,241 500,,,30 000,,,,30 000,,,,30 000,,,,,,,,,,,,,,,,,,
1.5.5.,Падел,,62 600,730 000,64 500,1166%,,,,,,,,,,,,,,,17 500,,,60 000,47 000,,7 600,150 000,,1974%,26 000,200 000,,769%,,200 000,,,14 000,100 000,,714%,5 000,20 000,,400%,10 000,,,0%,,,,
1.5.6.,Снегоходы,,4 000,48 000,8 000,1200%,4 000,8 000,8 000,200%,,10 000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 000,,
1.5.7.,Аренда от вендинговых автоматовав,,,167 000,,,,,,,,8 000,,,,8 000,,,,10 000,400,,,15 000,11 750,,,30 000,,,,30 000,,,,30 000,,,,10 000,,,,10 000,,,,8 000,,,,8 000,,
1.5.8.,Прочее (прокат),,11 600,20 000,0,172%,4 500,,,0%,1 500,0,,0%,5 600,0,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 000,,
1.6.,"Прочие доходы (возврат от поставщиков, подотчет)",,1 933 369,0,496 567,0%,175 460,,40 127,0%,260 000,,668,0%,531 200,,,0%,250 294,,82 522,0%,7 471,,373 250,0%,14 682,,,0%,960,,,0%,47 661,,,0%,156 748,,,0%,192 300,,,0%,4 171,,,0%,292 422,,,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.,Затраты по операционной деятельности,,181 390 689,193 306 884,64 691 292,107%,14 507 957,14 465 873,14 235 119,100%,12 228 342,13 305 311,11 582 521,109%,10 025 585,12 985 000,14 913 667,130%,13 108 707,13 425 100,12 381 188,102%,14 354 516,15 996 000,11 590 123,111%,14 756 963,17 342 400,0,118%,17 235 025,19 457 400,0,113%,19 489 663,19 551 200,0,100%,19 062 813,17 249 200,0,90%,15 810 624,15 903 200,0,101%,13 117 627,15 050 200,0,115%,17 687 867,18 576 000,0,105%
,доля в выручке,,98%,85%,130%,87%,95%,123%,121%,130%,123%,148%,147%,120%,92%,131%,160%,142%,144%,143%,173%,100%,"90,27%","92,99%",1,103%,77%,68%,,89%,59%,59%,,101%,65%,57%,,87%,127%,76%,,60%,144%,97%,,68%,132%,92%,,70%,188%,89%,,47%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.,Служба приема и размещения,,3 863 172,4 866 043,1 601 394,126%,332 277,354 043,354 043,107%,182 435,255 000,332 128,140%,215 495,250 000,294 881,116%,216 595,250 000,281 302,115%,240 490,507 000,339 040,211%,275 411,507 000,0,184%,436 063,507 000,0,116%,556 579,507 000,0,91%,384 972,507 000,0,132%,344 424,407 000,0,118%,387 108,407 000,0,105%,291 323,408 000,0,140%
2.1.1,ФОТ,,3 863 172,4 866 043,1 565 012,126%,332 277,354 043,354 043,107%,182 435,255 000,332 128,140%,215 495,250 000,283 803,116%,216 595,250 000,281 302,115%,240 490,507 000,313 736,211%,275 411,507 000,,184%,436 063,507 000,,116%,556 579,507 000,,91%,384 972,507 000,,132%,344 424,407 000,,118%,387 108,407 000,,105%,291 323,408 000,,140%
2.1.2,"Бытовая химия, хоз товары(хорека)",,0,0,8 427,,,0,,,,,,,,,8 427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.3,Расходные материалы,,0,0,27 955,,,0,,,,,,,,,2 651,,,,,,,,25 304,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2.2.,Проживание ,,25 356 518,23 536 028,6 269 619,93%,2 584 633,1 283 928,1 423 086,50%,1 297 164,1 207 700,1 255 420,93%,1 064 996,1 419 900,1 185 186,133%,2 075 833,1 497 500,1 219 273,72%,2 464 102,2 137 500,1 186 654,87%,2 401 057,2 682 500,0,112%,2 420 217,2 602 500,0,108%,3 224 938,2 532 500,0,79%,3 021 283,2 344 500,0,78%,1 684 015,1 887 500,0,112%,1 403 337,1 797 500,0,128%,1 714 943,2 142 500,0,125%
2.2.1,ФОТ,,8 924 582,8 426 054,3 201 732,94%,700 556,743 654,743 654,106%,455 144,520 000,528 673,114%,545 756,522 400,600 177,96%,548 361,520 000,644 578,95%,834 350,840 000,684 650,101%,893 685,840 000,,94%,1 113 029,840 000,,75%,1 107 208,840 000,,76%,716 226,840 000,,117%,737 711,640 000,,87%,675 267,640 000,,95%,597 289,640 000,,107%
2.2.2,"Бытовая химия, хоз товары(хорека)","Бытовая химия, хоз товары в номера (чистящие, моющие; расходные материалы: перчатки, ведра для мытья, мешки для мусора; хоз. товары в номера: коврики в номера, душ-лейка, полочки, зеркала, вешалки, подставки для обуви, посуда и т.д.) запланировано по статистике за предыдущий период",2 247 867,1 730 000,189 764,77%,224 917,,,0%,113 200,90 000,38 341,80%,23 067,50 000,47 951,217%,131 298,85 000,58 622,65%,415 925,200 000,44 850,48%,252 130,235 000,,93%,220 502,235 000,,107%,104 597,185 000,,177%,182 697,180 000,,99%,172 054,155 000,,90%,75 301,65 000,,86%,332 179,250 000,,75%
2.2.3,"Бытовая техника и оборудование, мебель",,0,0,34 525,,,0,,,,,,,,,,,,,,,,,34 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.4,Содержание и ремонт помещений,"Запланировано по статистике за предыдущий период (ремонтно-строительные материалы: гвозди, саморезы, доски, трубы;  ковролин, лампочки, розетки, краны, выключатели, радиаторы, замки и т.д.)",1 082 670,898 564,118 364,83%,382 615,118 364,118 364,31%,170 912,100 200,,59%,,150 000,,,456 450,250 000,,55%,3 650,15 000,,411%,,30 000,,,,50 000,,,,30 000,,,,25 000,,,,30 000,,,69 043,75 000,,109%,,25 000,,
2.2.5,"Комплектация номеров, текстиль","Одноразовые принадлежности из расчета 480 руб. на номер (гели, шампуни, тапочки, чай, сахар, зубная паста, вода бутылированная и т.д.) ",3 598 079,3 927 360,535 959,109%,200 288,32 360,32 360,16%,164 469,170 000,127 973,103%,201 257,220 000,111 150,109%,175 170,215 000,213 226,123%,444 372,335 000,51 250,75%,336 326,420 000,,125%,350 798,505 000,,144%,910 920,505 000,,55%,222 640,410 000,,184%,233 437,355 000,,152%,71 805,340 000,,474%,286 597,420 000,,147%
2.2.6,ТО и ремонт оборудования,запланировано по статистике за предыдущий период (зап.части и услуги организаций по ремонту),319 323,232 000,174 490,73%,221 668,,,0%,17 070,,32 450,0%,,50 000,,,,,,,,100 000,142 040,,,,,,,,,,,,,,80 585,82 000,,102%,,,,,,,,,,,,
2.2.7,"Униформа, спецодежда",,0,0,6 455,,,0,,,,,1 855,,,,4 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.8,Клининг,запланировано по статистике за предыдущий период ( услуги организаций),697 660,350 000,0,50%,,0,,,,,,,,,,,,,,,,,,,318 000,350 000,,110%,,,,,,,,,379 660,0,,0%,,,,,,,,,,,,
2.2.9,"Услуги прачки, химчистка",Запланировано из расчета 900 руб на номер. ,6 344 926,7 642 050,1 556 974,120%,580 989,362 050,362 050,62%,376 369,300 000,369 208,80%,291 916,400 000,346 316,137%,763 725,400 000,281 457,52%,610 255,620 000,197 943,102%,593 066,780 000,,132%,640 858,945 000,,147%,731 530,945 000,,129%,342 459,780 000,,228%,515 043,680 000,,132%,488 441,650 000,,133%,410 275,780 000,,190%
2.2.10,Мероприятия,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.11,Услуги подрядных организаций,В 2025 году -услуги общепита. На 2026 год не запланировано,1 092 499,0,0,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 092 499,,,0%,,,,,,,,,,,,
2.2.12,"IT расходы(обслуживание,покупка оборудования)",Алиса,82 500,330 000,98 002,400%,,27 500,27 500,,,27 500,12 120,,,27 500,43 382,,,27 500,15 000,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,82 500,27 500,,
2.2.13,Санитарная обработка,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.14.,Возвраты физ.лицам,,966 412,0,353 354,0%,273 600,0,139 158,0%,,,144 800,,3 000,,31 610,0%,829,,6 390,0%,155 550,,31 396,0%,7 850,,,0%,95 030,,,0%,370 683,,,0%,4 517,,,0%,25 770,,,0%,23 480,,,0%,6 103,,,0%
2.2.15.,Прочие расходы,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.,F&B,,46 682 648,43 022 366,12 387 818,92%,4 346 514,3 400 366,3 400 366,78%,2 775 425,2 544 000,2 247 174,92%,2 561 175,2 590 000,2 194 878,101%,2 714 079,2 595 000,2 321 963,96%,4 005 976,3 350 000,2 223 437,84%,4 449 850,4 132 000,0,93%,5 865 423,5 235 000,0,89%,6 120 493,5 740 000,0,94%,4 100 797,3 947 000,0,96%,3 770 094,3 075 000,0,82%,2 911 585,2 930 000,0,101%,3 056 237,3 484 000,0,114%
2.3.1,Продукты питания F$B,продукты запланированы с учетом снижения фудкоста с 40% до 30%  от выручки ресторана,22 429 516,19 322 896,4 204 288,86%,1 817 309,1 402 896,1 402 896,77%,960 097,930 000,692 929,97%,1 234 724,950 000,663 715,77%,1 388 436,835 000,760 207,60%,2 095 704,1 375 000,684 541,66%,2 447 982,2 170 000,,89%,3 297 922,2 860 000,,87%,3 292 987,3 200 000,,97%,2 095 788,2 030 000,,97%,1 707 024,1 130 000,,66%,1 104 792,1 085 000,,98%,986 751,1 355 000,,137%
,фудкост,,36%,32%,30%,87%,38%,40%,40%,105%,37%,40%,33%,109%,31%,32%,22%,104%,39%,32%,39%,82%,37%,30%,19%,82%,32%,30%,,94%,32%,30%,,94%,32%,30%,,94%,40%,30%,,76%,55%,"30,3%",,56%,41%,30%,,74%,40%,30%,,75%
2.3.2,Расходы на персонал F$B,,19 221 899,19 450 333,7 274 828,101%,1 381 715,1 732 333,1 732 333,125%,1 258 548,1 514 000,1 365 051,120%,1 246 765,1 525 000,1 360 788,122%,1 125 428,1 520 000,1 392 010,135%,1 640 842,1 620 000,1 424 646,99%,1 718 554,1 622 000,0,94%,2 056 129,1 630 000,0,79%,2 184 870,1 705 000,0,78%,1 708 804,1 675 000,0,98%,1 749 489,1 630 000,0,93%,1 585 909,1 620 000,0,102%,1 564 846,1 657 000,0,106%
2.3.2.1,ФОТ,,19 102 988,17 820 333,6 713 001,93%,1 381 715,1 608 333,1 608 333,116%,1 258 548,1 400 000,1 251 243,111%,1 246 765,1 400 000,1 276 190,112%,1 125 428,1 400 000,1 248 001,124%,1 640 842,1 500 000,1 329 234,91%,1 718 554,1 500 000,,87%,2 056 129,1 500 000,,73%,2 120 604,1 500 000,,71%,1 664 959,1 500 000,,90%,1 749 489,1 500 000,,86%,1 585 909,1 500 000,,95%,1 554 046,1 512 000,,97%
2.3.2.2,Банкетные выплаты,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2.3,Питание сотрудников,запланировано из рачета 4 тыс. в день,0,1 505 000,561 827,,,124 000,124 000,,,114 000,113 808,,,125 000,84 598,,,120 000,144 009,,,120 000,95 412,,,122 000,,,,130 000,,,,135 000,,,,130 000,,,,130 000,,,,120 000,,,,135 000,,
2.3.2.4,Обучение,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2.5,"Униформа, спецодежда",запланировано по статистике за предыдущий период,118 911,125 000,0,105%,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,64 266,70 000,,109%,43 845,45 000,,103%,,,,,,,,,10 800,10 000,,93%
