,,,Утрау ГОД 2026,,,,Утрау ЯНВАРЬ,,,,Утрау ФЕВРАЛЬ,,,,2 месяца,,,Утрау МАРТ,,,,3 месяца,,,Утрау АПРЕЛЬ,,,,Утрау МАЙ,,,,Утрау ИЮНЬ,,,,Утрау ИЮЛЬ,,,,Утрау АВГУСТ,,,,Утрау СЕНТЯБРЬ,,,,Утрау ОКТЯБРЬ,,,,Утрау НОЯБРЬ,,,,Утрау ДЕКАБРЬ,,,
,,ПОЯСНЕНИЯ ,Факт год  2025,ПЛАН год 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026"
2.2.5,"Комплектация номеров, текстиль","Одноразовые принадлежности из расчета 480 руб. на номер (гели, шампуни, тапочки, чай, сахар, зубная паста, вода бутылированная и т.д.) ",3 598 079,3 927 360,909 882,109%,200 288,32 360,6 565,16%,164 469,170 000,232 293,103%,202 360,238 858,36 498,201 257,220 000,180 508,109%,422 360,419 366,,175 170,215 000,307 183,123%,444 372,335 000,183 333,75%,336 326,420 000,,125%,350 798,505 000,,144%,910 920,505 000,,55%,222 640,410 000,,184%,233 437,355 000,,152%,71 805,340 000,,474%,286 597,420 000,,147%
2.2.6,ТО и ремонт оборудования,запланировано по статистике за предыдущий период (зап.части и услуги организаций по ремонту),319 323,232 000,147 490,73%,221 668,,,0%,17 070,,5 450,0%,0,5 450,5 450,,50 000,,,50 000,5 450,,,,,,,100 000,142 040,,,,,,,,,,,,,,80 585,82 000,,102%,,,,,,,,,,,,
2.2.7,"Униформа, спецодежда",,0,0,0,,,0,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.8,Клининг,запланировано по статистике за предыдущий период ( услуги организаций),697 660,350 000,0,50%,,0,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,318 000,350 000,,110%,,,,,,,,,379 660,0,,0%,,,,,,,,,,,,
2.2.9,"Услуги прачки, химчистка",Запланировано из расчета 900 руб на номер. ,6 178 226,7 642 050,1 683 397,124%,570 789,362 050,419 393,63%,364 769,300 000,287 815,82%,662 050,707 208,45 158,301 716,400 000,322 563,133%,1 062 050,1 029 771,,753 625,400 000,289 860,53%,570 255,620 000,363 766,109%,593 066,780 000,,132%,615 258,945 000,,154%,707 230,945 000,,134%,326 859,780 000,,239%,497 643,680 000,,137%,477 241,650 000,,136%,399 775,780 000,,195%
2.2.10,Мероприятия,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.11,Услуги подрядных организаций,В 2025 году -услуги общепита. На 2026 год не запланировано,1 092 499,0,0,0%,0,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,1 092 499,,,0%,,,,,,,,,,,,
2.2.12,"IT расходы(обслуживание,покупка оборудования)",Алиса,82 500,330 000,100 701,400%,,27 500,31 341,,,27 500,23 278,,55 000,54 619,-381,,27 500,21 492,,82 500,76 111,,,27 500,12 295,,,27 500,12 295,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,,27 500,,,82 500,27 500,,
2.2.13,Санитарная обработка,,0,0,0,,0,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.14.,Возвраты физ.лицам,,966 412,0,0,0%,273 600,0,,0%,,,,,0,0,0,3 000,,,0%,0,0,,829,,,0%,155 550,,,0%,7 850,,,0%,95 030,,,0%,370 683,,,0%,4 517,,,0%,25 770,,,0%,23 480,,,0%,6 103,,,0%
2.2.15.,Прочие расходы,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.,F&B,,46 868 408,43 022 366,13 286 838,92%,4 356 714,3 400 366,3 372 688,78%,2 786 485,2 544 000,2 438 119,91%,5 944 366,5 810 807,-133 559,2 570 975,2 590 000,2 595 102,101%,8 534 366,8 387 082,,2 724 179,2 595 000,2 262 712,95%,4 045 976,3 350 000,2 618 217,83%,4 449 850,4 132 000,0,93%,5 891 023,5 235 000,0,89%,6 144 793,5 740 000,0,93%,4 116 397,3 947 000,0,96%,3 787 494,3 075 000,0,81%,2 922 785,2 930 000,0,100%,3 066 737,3 484 000,0,114%
2.3.1,Продукты питания F$B,продукты запланированы с учетом снижения фудкоста с 40% до 30%  от выручки ресторана,22 429 516,19 322 896,4 539 891,86%,1 817 309,1 402 896,1 366 866,77%,960 097,930 000,726 496,97%,2 332 896,2 093 362,-239 534,1 234 724,950 000,972 367,77%,3 282 896,3 065 729,,1 388 436,835 000,583 346,60%,2 095 704,1 375 000,890 816,66%,2 447 982,2 170 000,,89%,3 297 922,2 860 000,,87%,3 292 987,3 200 000,,97%,2 095 788,2 030 000,,97%,1 707 024,1 130 000,,66%,1 104 792,1 085 000,,98%,986 751,1 355 000,,137%
,фудкост,,36%,32%,32%,87%,38%,40%,40%,105%,37%,40%,34%,109%,40%,37%,0,31%,32%,30%,104%,38%,35%,,42%,32%,32%,77%,37%,30%,"24,3%",82%,32%,30%,,94%,32%,30%,,94%,32%,30%,,94%,40%,30%,,76%,55%,"30,3%",,56%,41%,30%,,74%,40%,30%,,75%
2.3.2,Расходы на персонал F$B,,19 221 899,19 450 333,8 057 352,101%,1 381 715,1 732 333,1 950 953,125%,1 258 548,1 514 000,1 510 797,120%,3 246 333,3 461 750,215 417,1 246 765,1 525 000,1 502 314,122%,4 771 333,4 964 064,,1 125 428,1 520 000,1 528 739,135%,1 640 842,1 620 000,1 564 549,99%,1 718 554,1 622 000,0,94%,2 056 129,1 630 000,0,79%,2 184 870,1 705 000,0,78%,1 708 804,1 675 000,0,98%,1 749 489,1 630 000,0,93%,1 585 909,1 620 000,0,102%,1 564 846,1 657 000,0,106%
2.3.2.1,ФОТ,,19 102 988,17 820 333,7 503 310,93%,1 381 715,1 608 333,1 824 905,116%,1 258 548,1 400 000,1 406 822,111%,3 008 333,3 231 727,223 394,1 246 765,1 400 000,1 417 716,112%,4 408 333,4 649 443,,1 125 428,1 400 000,1 384 730,124%,1 640 842,1 500 000,1 469 137,91%,1 718 554,1 500 000,,87%,2 056 129,1 500 000,,73%,2 120 604,1 500 000,,71%,1 664 959,1 500 000,,90%,1 749 489,1 500 000,,86%,1 585 909,1 500 000,,95%,1 554 046,1 512 000,,97%
2.3.2.2,Банкетные выплаты,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2.3,Питание сотрудников,запланировано из рачета 4 тыс. в день,0,1 505 000,554 042,,,124 000,126 048,,,114 000,103 975,,238 000,230 023,-7 977,,125 000,84 598,,363 000,314 621,,,120 000,144 009,,,120 000,95 412,,,122 000,,,,130 000,,,,135 000,,,,130 000,,,,130 000,,,,120 000,,,,135 000,,
2.3.2.4,Обучение,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2.5,"Униформа, спецодежда",запланировано по статистике за предыдущий период,118 911,125 000,0,105%,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,64 266,70 000,,109%,43 845,45 000,,103%,,,,,,,,,10 800,10 000,,93%
2.3.2.6,Прочие расходы ,,0,0,0,,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.3,Хоз.расходы F$B,,5 216 993,4 249 137,689 595,81%,1 157 690,265 137,54 869,23%,567 840,100 000,200 826,18%,365 137,255 695,-109 442,89 486,115 000,120 421,129%,480 137,357 289,,210 315,240 000,150 627,114%,309 430,355 000,162 852,115%,283 314,340 000,0,120%,536 972,745 000,0,139%,666 936,835 000,0,125%,311 805,242 000,0,78%,330 981,315 000,0,95%,232 084,225 000,0,97%,515 140,472 000,0,92%
2.3.3.1,"Бытовая химия, хоз товары(хорека)","Бытовая химия, хоз товары в номера (чистящие, моющие; расходные материалы: перчатки, мешки для мусора; хоз. товары: овощечистки, полки, вешалки, подставки, органайзеры для кухонных принадлежностей и тд.) запланировано по статистике за предыдущий период",1 825 936,2 033 456,161 015,111%,126 800,145 456,,115%,57 090,38 000,60 630,67%,183 456,60 630,-122 826,45 293,30 000,54 242,66%,213 456,114 872,,110 250,75 000,19 094,68%,198 940,190 000,27 049,96%,217 044,190 000,,88%,246 773,300 000,,122%,377 562,400 000,,106%,113 695,100 000,,88%,267 473,240 000,,90%,159 927,145 000,,91%,245 089,180 000,,73%
2.3.3.2,"Бытовая техника, приборы, посуда","(Чайники, миксеры, посуда, столовые приборы, кострюли,  овощерезки и т.д.) запланировано по статистике за предыдущий период",618 171,753 000,18 827,122%,,,,,,,18 827,,0,18 827,18 827,,,,,,,,,,,,17 800,23 000,,129%,33 498,40 000,,119%,177 025,210 000,,119%,165 197,220 000,,133%,21 550,25 000,,116%,10 528,15 000,,142%,17 077,20 000,,117%,175 496,200 000,,114%
2.3.3.3,Расходные материалы,"Товары для кухни: полотенца, салфетки, средста для мытья посуды, губки, фольга, перчатки т.д.) запланировано по статистике за предыдущий период",345 000,349 000,128 791,101%,,32 000,,,,22 000,,,54 000,0,-54 000,,25 000,37 546,,79 000,37 546,,,25 000,56 920,,,35 000,34 325,,,40 000,,,,50 000,,,,30 000,,,,25 000,,,,20 000,,,,20 000,,,,25 000,,
2.3.3.4,Содержание и ремонт помещений,"Запланировано по статистике за предыдущий период (ремонтно-строительные материалы: гвозди, саморезы, доски, трубы;  лампочки, розетки, краны, выключатели, радиаторы, замки и т.д.)",46 000,50 000,91 594,109%,,,17 721,,,,72 643,,0,90 364,90 364,,,,,0,90 364,,,50 000,,,,,1 230,,,,,,,,,,,,,,,,,,,,,,,,,,46 000,,,0%
2.3.3.5,Текстиль,"скатерти, полотенца, салфетки для ресторана",0,74 600,0,,,14 600,,,,,,,14 600,0,-14 600,,,,,14 600,0,,,,,,,,,,,,,,,40 000,,,,20 000,,,,,,,,,,,,,,,,,,
2.3.3.6,"ТО и ремонт, покупка оборудования","запланировано по статистике за предыдущий период (новое оборудование: холодильники, плиты; зап.части и услуги организаций по ремонту оборудования)",243 571,268 893,68 054,110%,8 000,23 893,2 381,299%,,,13 231,,23 893,15 612,-8 281,21 703,20 000,2 381,92%,43 893,17 993,,77 275,50 000,23 830,65%,,,26 231,,8 082,10 000,,124%,31 500,40 000,,127%,79 256,100 000,,126%,6 500,10 000,,154%,,,,,,,,,11 255,15 000,,133%
2.3.3.7,Вознаграждение,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.3.8,Мебель,,0,0,11 429,,,,,,,,,,0,0,0,,,,,0,0,,,,11 429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.3.9,Санитарная обработка,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.3.10,"Услуги прачки, химчистка",,185 760,180 000,56 401,,10 200,,8 100,,11 060,15 000,10 815,,15 000,18 915,3 915,9 800,15 000,3 657,,30 000,22 572,,10 100,15 000,20 724,,40 000,15 000,13 105,,,20 000,,,25 600,20 000,,,24 300,20 000,,,15 600,15 000,,,17 400,15 000,,,11 200,15 000,,,10 500,15 000,,
2.3.3.11,Лабораторные исследование,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.3.12,Мероприятия,,130 180,67 000,33 510,51%,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,33 510,,12 000,15 000,,125%,27 500,40 000,,145%,,,,,80 280,0,,0%,,,,,,,,,10 400,12 000,,115%
2.3.3.13,Услуги подрядных организаций,,1 487 000,82 721,9 600,6%,1 000 000,17 721,9 600,2%,487 000,,,0%,17 721,9 600,-8 121,,,,,17 721,9 600,,,,,,,25 000,,,,,,,,20 000,,,,20 000,,,,,,,,,,,,,,,,,,
2.3.3.14,"IT расходы(обслуживание,покупка оборудования)","Айко, ОПЕН-СЕРВИС",255 375,306 467,110 374,120%,12 690,31 467,17 067,248%,12 690,25 000,24 680,197%,56 467,41 747,-14 720,12 690,25 000,22 595,197%,81 467,64 342,,12 690,25 000,18 630,197%,12 690,25 000,27 402,197%,12 690,25 000,,197%,28 574,25 000,,87%,20 621,25 000,,121%,34 180,25 000,,73%,35 580,25 000,,70%,43 880,25 000,,57%,16 400,25 000,,152%
2.3.3.15,Клининг,запланировано по статистике за предыдущий период ,80 000,84 000,0,105%,,,,,,,,,0,0,0,,,,,0,0,,,,,,40 000,42 000,,105%,,,,,,,,,,,,,40 000,42 000,,105%,,,,,,,,,,,,
2.3.3.16,Прочие расходы,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.,SPA,,6 893 769,6 879 332,1 948 538,100%,530 061,307 532,325 957,58%,306 850,377 000,403 041,123%,684 532,728 998,44 466,387 456,380 000,379 952,98%,1 064 532,1 108 950,,761 858,475 000,420 534,62%,549 610,590 000,419 054,107%,695 675,667 000,0,96%,838 546,920 000,0,110%,778 398,785 000,0,101%,528 069,695 000,0,132%,606 810,580 000,0,96%,321 071,467 000,0,145%,589 365,635 800,0,108%
2.4.1,ФОТ,,3 853 257,3 674 322,1 380 684,95%,337 726,268 522,299 675,80%,233 700,260 000,192 053,111%,528 522,491 728,-36 794,270 610,270 000,269 189,100%,798 522,760 917,,270 560,275 000,297 907,102%,425 645,325 000,321 860,76%,360 118,325 000,,90%,376 617,325 000,,86%,363 765,325 000,,89%,240 584,325 000,,135%,406 635,325 000,,80%,221 697,325 000,,147%,345 600,325 800,,94%
2.4.2,Химия бассейн,запланировано по статистике за предыдущий период ,130 372,150 000,74 785,115%,82 400,,18 693,0%,9 600,20 000,24 419,208%,20 000,43 112,23 112,5 346,10 000,17 354,187%,30 000,60 466,,,,7 704,,,30 000,6 615,,,,,,,15 000,,,,,,,,30 000,,,4 884,10 000,,205%,28 142,35 000,,124%,,,,
2.4.3,Оборудование для бассейнов,"(насосы, фильтровальные станции, гидромассажи, горки) запланировано по статистике за предыдущий период ",525 650,367 024,37 800,70%,12 805,12 024,,94%,,,37 800,,12 024,37 800,25 776,,,,,12 024,37 800,,282 870,50 000,,18%,,40 000,,,,20 000,,,,15 000,,,,,,,125 875,130 000,,103%,,,,,,,,,104 100,100 000,,96%
2.4.4,"Бытовая техника и оборудование, мебель",,0,0,1 200,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,1 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.5,Содержание и ремонт помещений,,0,0,84 417,,,,,,,,35 362,,0,35 362,35 362,,,,,0,35 362,,,,48 388,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.6,Медикаменты и пр,запланировано по статистике за предыдущий период ,10 308,12 000,1 484,116%,,,,,,,,,0,0,0,,,,,0,0,,,,,,10 308,,1 484,0%,,12 000,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.7,"Бытовая химия, хоз товары(хорека)","Бытовая химия, хоз товары в номера (чистящие, моющие; расходные материалы: перчатки,  мешки для мусора; хоз.товары: ведра, вешали, коврики  и т.д.) запланировано по статистике за предыдущий период",185 850,205 000,14 739,110%,,,,,,10 000,6 310,,10 000,6 310,-3 690,,10 000,5 742,,20 000,12 052,,27 837,15 000,722,54%,30 000,20 000,1 965,67%,30 679,25 000,,81%,15 509,25 000,,161%,73 968,25 000,,34%,1 610,20 000,,1242%,,20 000,,,6 247,15 000,,240%,,20 000,,
2.4.8,Услуги подрядных организаций,услуги спасателя,200 000,200 000,0,100%,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,100 000,100 000,,100%,100 000,100 000,,100%,,,,,,,,,,,,,,,,
2.4.9,Расходные материалы,"(веники,тапочки,  гели, шампуни и т.д)  запланировано по статистике за предыдущий период ",188 199,368 986,54 863,196%,,26 986,4 181,,13 750,15 000,13 861,109%,41 986,18 042,-23 944,11 500,15 000,19 754,130%,56 986,37 796,,47 151,50 000,3 929,106%,,40 000,13 138,,35 902,45 000,,125%,,40 000,,,,50 000,,,,,,,32 246,35 000,,109%,9 825,12 000,,122%,37 825,40 000,,106%
2.4.10,Лабораторные исследования,,0,10 000,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,10 000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2.4.11,Услуги прачки,,0,310 000,219 485,,,0,,,,20 000,41 097,,20 000,41 097,21 097,,25 000,67 913,,45 000,109 010,,,25 000,52 350,,,35 000,58 125,,,35 000,,,,35 000,,,,35 000,,,,25 000,,,,25 000,,,,25 000,,,,25 000,,
2.4.12,Вознаграждение % за парения и массажи,,1 051 255,897 000,0,85%,60 920,,,0%,49 800,52 000,,104%,52 000,0,-52 000,100 000,50 000,,50%,102 000,0,,133 440,60 000,,45%,52 900,55 000,,104%,100 000,105 000,,105%,155 280,155 000,,100%,148 665,150 000,,101%,50 000,50 000,,100%,115 590,115 000,,99%,55 160,55 000,,100%,29 500,50 000,,169%
2.4.13,"Униформа, спецодежда",,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.14,Сертификация и лицензирование,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.15,Клининг,запланировано по статистике за предыдущий период ,83 500,85 000,0,102%,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,83 500,85 000,,102%,,,,,,,,,,,,
2.4.16,ТО и ремонт оборудования,(запчасти и услуги организаций по ремонту оборудования) запланировано по статистике за предыдущий период ,665 378,600 000,79 081,90%,36 210,,3 408,0%,,,52 139,,0,55 547,55 547,,,,,0,55 547,,,,9 534,,30 757,35 000,14 000,114%,168 976,100 000,,59%,191 140,210 000,,110%,92 000,100 000,,109%,26 500,30 000,,113%,47 455,50 000,,105%,,,,,72 340,75 000,,104%
2.4.17,Прочие расходы ,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.,Затраты АУП,,27 145 308,25 258 332,9 172 618,93%,1 204 298,2 255 721,2 269 545,187%,1 730 351,2 305 511,2 140 433,133%,4 561 232,4 409 978,-151 254,1 446 649,2 188 000,1 705 939,151%,6 749 232,6 115 917,,1 388 465,2 116 500,1 479 536,152%,1 874 903,1 761 500,1 577 165,94%,1 738 255,1 892 500,0,109%,2 085 760,1 977 500,0,95%,2 777 547,2 244 100,0,81%,4 296 095,1 857 500,0,43%,2 917 704,2 260 500,0,77%,2 890 364,2 188 500,0,76%,2 794 917,2 210 500,0,79%
2.5.1,ФОТ,,14 884 640,11 508 221,6 278 467,77%,629 353,1 113 721,1 251 290,177%,1 046 706,1 060 000,1 507 865,101%,2 173 721,2 759 155,585 434,817 837,1 050 000,1 080 433,128%,3 223 721,3 839 588,,883 078,920 500,1 309 567,104%,921 411,920 500,1 129 312,100%,989 592,920 500,,93%,1 198 983,920 500,,77%,1 491 309,920 500,,62%,2 024 236,920 500,,45%,1 521 517,920 500,,60%,1 683 957,920 500,,55%,1 676 661,920 500,,55%
2.5.2,Вознаграждение,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.3,"Бытовая техника и оборудование, мебель",мебель для офиса,40 722,60 000,6 682,147%,,,,,,10 000,4 924,,10 000,4 924,-5 076,,,,,10 000,4 924,,,,,,,,1 758,,,,,,,,,,27 866,30 000,,108%,7 617,10 000,,131%,5 239,10 000,,191%,,,,,,,,
2.5.4,Содержание и ремонт помещений,"Ремонтно-строительные материалы: гвозди, саморезы, доски, трубы; лампочки, розетки, выключатели, радиаторы, замки и т.д.)",,25 770,0,,,10 770,,,,,,,10 770,0,-10 770,,15 000,,,25 770,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.5,Обучение,,32 640,0,0,0%,,,,,,,,,0,0,0,,,,,0,0,,17 640,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,15 000,,,0%,,,,
2.5.6,IT расходы(программное обеспечение),"Битрикс, Контур, ПО, ",1 374 952,1 569 000,263 153,114%,77 000,29 000,79 846,38%,64 700,135 000,55 498,209%,164 000,135 344,-28 656,37 800,100 000,73 600,265%,264 000,208 944,,113 900,130 000,21 880,114%,350 200,200 000,32 329,57%,180 740,180 000,,100%,128 799,145 000,,113%,202 785,150 000,,74%,17 100,130 000,,760%,78 300,130 000,,166%,10 900,120 000,,1101%,112 728,120 000,,106%
2.5.6А,IT расходы(покупка оборудования),"Компьютеры, МФУ, комплектующие",297 794,379 701,72 253,128%,,74 701,61 910,,,50 000,,,124 701,61 910,-62 791,,,4 943,,124 701,66 853,,,,,,44 010,50 000,5 400,114%,,,,,8 299,15 000,,181%,160 395,100 000,,62%,21 200,20 000,,94%,53 900,60 000,,111%,,,,,9 990,10 000,,100%
2.5.7,Канцтовары,канцтовары. Заправка кадриджей,236 493,239 902,58 992,101%,2 948,19 902,800,675%,19 743,15 000,5 763,76%,34 902,6 563,-28 339,,8 000,23 685,,42 902,30 248,,43 197,35 000,5 650,81%,10 611,10 000,23 094,94%,14 212,15 000,,106%,34 025,30 000,,88%,31 080,30 000,,97%,12 080,12 000,,99%,27 677,25 000,,90%,25 888,25 000,,97%,15 032,15 000,,100%
2.5.8,Командировочные затраты,,37 283,0,0,0%,,,,,,,,,0,0,0,,,,,0,0,,,,,,22 130,,,0%,15 153,,,0%,,,,,,,,,,,,,,,,,,,,,,,,
2.5.9,Страхование,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.10,Подбор персонала,ХэдХантер ,364 742,188 632,24 753,52%,7 747,21 132,14 166,273%,0,10 000,2 356,,31 132,16 522,-14 610,3 958,10 000,,253%,41 132,16 522,,14 377,15 500,1 820,108%,223 863,10 000,6 411,4%,10 242,12 000,,117%,9 879,11 000,,111%,17 664,18 000,,102%,25 412,28 000,,110%,4 187,5 000,,119%,17 478,18 000,,103%,29 935,30 000,,100%
2.5.11,"Правовые и консультационные услуги, аудит","Консультации различных специалистоа, уадит, подготовка документов",1 872 342,609 023,487 181,33%,261 600,499 023,456 201,191%,138 000,0,17 000,0%,499 023,473 201,-25 822,76 815,0,4 660,0%,499 023,477 861,,126 000,0,4 660,0%,,,4 660,,,0,,,100 000,0,,0%,,,,,110 000,110 000,,100%,484 656,0,,0%,293 300,0,,0%,281 971,0,,0%
2.5.12,"Сертификация и лицензирование, геодезия",Алкогольная лицензия,415 074,4 990,0,1%,,4 990,,,,,,,4 990,0,-4 990,,,,,4 990,0,,,,,,,,,,,,,,,,,,13 071,,,0%,374 303,,,0%,16 000,,,0%,,,,,11 700,,,0%
2.5.13,Услуги банка (комиссия по эквайрингу),,1 101 757,1 216 132,236 218,110%,61 305,86 132,86 132,140%,91 844,95 000,77 534,103%,181 132,163 666,-17 466,68 342,80 000,72 552,117%,261 132,236 218,,48 825,85 000,,174%,74 971,85 000,,113%,92 775,95 000,,102%,123 188,125 000,,101%,168 716,170 000,,101%,93 044,95 000,,102%,86 207,90 000,,104%,65 445,80 000,,122%,127 095,130 000,,102%
2.5.14,"Услуги связи, Интернет","Услуги связи ОАО Вымпелком,   Интернет ПАО Таттелеком,  телефон",1 457 152,1 496 011,505 214,103%,104 676,112 500,104 203,107%,107 246,112 511,101 231,105%,225 011,205 434,-19 577,115 273,115 000,103 646,100%,340 011,309 080,,100 296,120 000,89 968,120%,130 348,131 000,106 166,101%,127 367,130 000,,102%,134 588,135 000,,100%,143 261,140 000,,98%,128 279,130 000,,101%,121 179,120 000,,99%,111 813,120 000,,107%,132 826,130 000,,98%
2.5.15,Почтовые расходы,,2 615,3 950,5 444,151%,,350,327,,,500,3 117,,850,3 444,2 594,,,,,850,3 444,,,500,350,,,,1 650,,,,,,,,,,445,600,,135%,1 750,2 000,,114%,,,,,,,,,420,,,0%
2.5.16,Вода,,0,0,544,,,,,,,,,,0,0,0,,,,,0,0,,,,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.17,"Униформа, спецодежда",,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2.5.18,Доставка персонала,Яндекс такси,2 161 402,3 325 000,1 148 636,154%,49 773,250 000,175 024,502%,202 612,250 000,332 329,123%,500 000,507 353,7 353,26 100,250 000,287 374,958%,750 000,794 727,,,250 000,145 291,,80 772,280 000,208 618,347%,211 774,280 000,,132%,285 774,300 000,,105%,364 515,360 000,,99%,245 757,280 000,,114%,269 059,280 000,,104%,210 000,280 000,,133%,215 266,265 000,,123%
2.5.19,Выдача в подотчет,,1 787 196,0,0,0%,,,,,,,,,0,0,0,206 537,,,0%,0,0,,30 000,,,0%,490,,,0%,7 238,,,0%,,,,,,,,,1 095 665,,,0%,39 877,,,0%,289 449,,,0%,117 940,,,0%
2.5.20,Мед.осмотр,,116 300,115 000,39 710,99%,,,14 440,,,14 000,3 610,,14 000,18 050,4 050,,,14 840,,14 000,32 890,,,,,,,15 000,6 820,,,,,,14 040,16 000,,114%,13 640,15 000,,110%,,20 000,,,75 180,20 000,,27%,13 440,15 000,,112%,,,,
2.5.21,"Транспортные расходы, ГСМ",,4 896,0,0,0%,4 896,,,0%,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.22,Прочие расходы,"Запланировано аренда квартиры 23350+аренда помещения 10000+ непредвиденные расходы . В 2025 году факт: аренда квартиры и помещения, различные пошлины, претензии, судебные неустойки, оплата лечения, изготовление вывесок",957 308,697 000,45 371,73%,5 000,33 500,25 206,670%,59 500,33 500,29 206,56%,67 000,54 412,-12 588,93 987,40 000,40 206,43%,107 000,94 618,,11 152,40 000,-100 194,359%,16 097,40 000,50 947,248%,89 162,40 000,,45%,48 185,60 000,,125%,142 800,90 000,,63%,139 652,80 000,,57%,134 726,80 000,,59%,153 694,90 000,,59%,63 353,70 000,,110%
