,,,Утрау ГОД 2026,,,,Утрау ЯНВАРЬ,,,,Утрау ФЕВРАЛЬ,,,,2 месяца,,,Утрау МАРТ,,,,3 месяца,,,Утрау АПРЕЛЬ,,,,Утрау МАЙ,,,,Утрау ИЮНЬ,,,,Утрау ИЮЛЬ,,,,Утрау АВГУСТ,,,,Утрау СЕНТЯБРЬ,,,,Утрау ОКТЯБРЬ,,,,Утрау НОЯБРЬ,,,,Утрау ДЕКАБРЬ,,,
,,ПОЯСНЕНИЯ ,Факт год  2025,ПЛАН год 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026"
1.1.2.,Проживание доп места,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.3.,Доходы от сертификатов,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.4.,Пляж,,0,0,0,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.5.,Аренда мангальной зоны,,270 350,560 600,328 300,207%,23 000,57 600,57 600,250%,33 100,38 000,63 500,115%,95 600,121 100,25 500,9 000,35 000,49 000,389%,130 600,170 100,,11 000,30 000,59 000,273%,16 400,40 000,99 200,244%,9 000,60 000,,667%,23 000,60 000,,261%,13 000,60 000,,462%,9 000,35 000,,389%,25 500,30 000,,118%,70 350,80 000,,114%,28 000,35 000,,125%
1.1.6.,Прочие услуги,,704 310,735 100,237 340,104%,88 500,38 100,38 100,43%,77 100,100 000,77 340,130%,138 100,115 440,-22 660,37 700,50 000,38 900,133%,188 100,154 340,,55 400,75 000,4 200,135%,50 200,70 000,78 800,139%,74 800,20 000,,27%,69 150,80 000,,116%,69 800,82 000,,117%,44 000,65 000,,148%,35 100,40 000,,114%,69 360,75 000,,108%,33 200,40 000,,120%
1.2.,F&B,4 000 000,61 714 585,65 922 049,15 977 005,107%,4 721 628,3 771 249,3 771 249,80%,2 583 792,2 585 000,2 476 713,100%,6 356 249,6 247 962,-108 287,4 017 449,3 350 000,3 479 888,83%,9 706 249,9 727 850,,3 304 820,2 950 000,2 304 873,89%,5 625 015,4 910 000,4 052 282,87%,7 549 070,7 540 000,0,100%,10 233 617,9 820 800,0,96%,10 218 271,10 980 000,0,107%,5 206 564,7 105 000,0,136%,3 125 971,4 155 000,0,133%,2 688 288,3 955 000,0,147%,2 440 100,4 900 000,0,201%
1.2.1.,Основная деятельность,,18 899 892,23 806 059,6 888 195,126%,1 558 309,1 585 259,1 585 259,102%,1 276 492,1 205 000,1 102 313,94%,2 790 259,2 687 572,-102 687,1 297 917,1 330 000,1 592 448,102%,4 120 259,4 280 020,,915 658,1 185 000,922 613,129%,1 579 274,1 900 000,1 793 562,120%,1 813 223,2 850 000,0,157%,2 971 877,3 450 800,0,116%,2 953 193,3 530 000,0,120%,1 125 170,1 750 000,0,156%,1 480 907,1 710 000,0,115%,1 111 081,1 640 000,0,148%,816 791,1 770 000,0,217%
1.2.1.1,Доходы Ресторан а-ля карт,27 806 059,15 833 539,19 407 304,5 369 672,123%,1 353 406,1 226 504,1 226 504,91%,1 059 270,975 000,838 696,92%,2 201 504,2 065 200,-136 304,1 101 458,1 105 000,1 294 208,100%,3 306 504,3 359 408,,821 575,980 000,714 902,119%,1 308 992,1 420 000,1 295 362,108%,1 548 366,2 400 000,,155%,2 509 014,2 800 800,,112%,2 432 928,2 850 000,,117%,905 981,1 400 000,,155%,1 212 632,1 400 000,,115%,903 173,1 350 000,,149%,676 744,1 500 000,,222%
1.2.1.2,Доходы  бар,,3 066 353,4 398 755,1 518 523,143%,204 903,358 755,358 755,175%,217 222,230 000,263 617,106%,588 755,622 372,33 617,196 459,225 000,298 240,115%,813 755,920 612,,94 083,205 000,207 711,218%,270 282,380 000,390 200,141%,264 857,450 000,,170%,462 863,650 000,,140%,520 265,680 000,,131%,219 189,350 000,,160%,268 275,310 000,,116%,207 908,290 000,,139%,140 047,270 000,,193%
1.2.1.3,Доходы  летний  бар,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,100 000,108 000,,,150 000,,,,180 000,,,,150 000,,,,70 000,,,,,,,,,,,,,,
1.2.2.,Питание вкл.в проживание,,30 060 900,26 056 000,7 219 700,87%,1 403 000,1 346 000,1 346 000,96%,1 282 800,1 150 000,1 374 400,90%,2 496 000,2 720 400,224 400,2 539 000,1 450 000,1 523 600,57%,3 946 000,4 244 000,,2 150 000,1 380 000,1 195 200,64%,3 864 000,2 140 000,1 780 500,55%,4 060 000,2 840 000,0,70%,5 649 200,3 300 000,0,58%,3 754 600,3 350 000,0,89%,1 605 300,2 500 000,0,156%,1 355 000,2 100 000,0,155%,1 390 000,2 100 000,0,151%,1 008 000,2 400 000,0,238%
1.2.2.1,"Завтраки, обеды, ужины ресторан",,30 060 900,26 056 000,7 219 700,87%,1 403 000,1 346 000,1 346 000,96%,1 282 800,1 150 000,1 374 400,90%,2 496 000,2 720 400,224 400,2 539 000,1 450 000,1 523 600,57%,3 946 000,4 244 000,,2 150 000,1 380 000,1 195 200,64%,3 864 000,2 140 000,1 780 500,55%,4 060 000,2 840 000,,70%,5 649 200,3 300 000,,58%,3 754 600,3 350 000,,89%,1 605 300,2 500 000,,156%,1 355 000,2 100 000,,155%,1 390 000,2 100 000,,151%,1 008 000,2 400 000,,238%
1.2.2.2.,"Прочее питание (мини-бар, рум-сервис)",,0,0,0,,,0,,,,0,,,0,0,0,,0,,,0,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3.,Банкетное обслуживание (еда+напитки),,12 101 395,15 492 400,1 606 520,128%,1 708 587,827 400,827 400,48%,,200 000,,,1 027 400,827 400,-200 000,119 082,500 000,183 840,420%,1 527 400,1 011 240,,206 362,350 000,177 060,170%,121 261,800 000,418 220,660%,1 463 487,1 800 000,,123%,1 553 040,3 000 000,,193%,3 465 728,4 000 000,,115%,2 429 209,2 800 000,,115%,269 584,315 000,,117%,156 036,180 000,,115%,609 019,720 000,,118%
1.2.3.А,Банкетное обслуживание (аренда),,207 922,60 000,240 000,29%,9 172,,,0%,500,0,,0%,0,0,0,,,180 000,,0,180 000,,,,,,,0,60 000,,170 000,,,0%,6 000,10 000,,167%,18 750,50 000,,267%,500,,,0%,,,,,1 500,,,0%,1 500,,,0%
1.2.4.,Организация мероприятий(прочие),,0,0,10 000,,,0,,,,,,,0,0,0,,,,,0,0,,,,10 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.5.,Доходы от сертификатов,,444 476,507 590,12 590,114%,42 560,12 590,12 590,30%,24 000,30 000,,125%,42 590,12 590,-30 000,61 450,70 000,,114%,112 590,12 590,,32 800,35 000,,107%,60 480,70 000,,116%,42 360,50 000,,118%,53 500,60 000,,112%,26 000,50 000,,192%,46 385,55 000,,119%,20 480,30 000,,146%,29 671,35 000,,118%,4 790,10 000,,209%
1.3.,Продажа сопутствующих товаров,,55 090,153 250,34 300,278%,4 050,1 050,500,26%,2 150,10 500,6 050,488%,11 550,6 550,-5 000,2 500,10 000,10 700,400%,21 550,17 250,,7 240,15 000,7 050,207%,11 160,25 200,10 000,226%,7 390,20 000,,271%,1 700,1 500,,88%,2 000,15 000,,750%,3 000,15 000,,500%,1 300,10 000,,769%,10 950,20 000,,183%,1 650,10 000,,606%
1.4.,SPA,,15 088 700,16 112 100,4 515 200,107%,1 774 300,1 028 100,1 028 100,58%,1 315 550,998 000,794 400,76%,2 026 100,1 822 500,-203 600,1 141 200,935 000,880 600,82%,2 961 100,2 703 100,,879 800,906 000,700 200,103%,1 280 900,1 232 000,1 111 900,96%,1 276 600,1 520 000,0,119%,2 142 600,2 388 000,0,111%,1 959 700,2 250 000,0,115%,909 000,1 290 000,0,142%,955 760,1 240 000,0,130%,850 690,1 145 000,0,135%,602 600,1 180 000,0,196%
1.4.1.,Посещение банного комплекса,,13 338 850,13 588 600,3 787 200,102%,1 599 800,973 600,973 600,61%,1 114 850,800 000,662 900,72%,1 773 600,1 636 500,-137 100,990 100,730 000,718 100,74%,2 503 600,2 354 600,,715 900,680 000,580 200,95%,1 177 800,1 050 000,852 400,89%,1 137 200,1 300 000,,114%,1 915 200,2 100 000,,110%,1 695 400,1 950 000,,115%,877 000,1 100 000,,125%,795 100,975 000,,123%,743 900,940 000,,126%,576 600,990 000,,172%
1.4.2.,Массажный кабинет,,713 970,1 049 000,386 000,147%,30 400,16 000,16 000,53%,52 700,60 000,89 500,114%,76 000,105 500,29 500,98 000,90 000,37 500,92%,166 000,143 000,,66 900,75 000,83 000,112%,103 100,120 000,160 000,116%,111 000,120 000,,108%,165 000,170 000,,103%,66 500,78 000,,117%,,80 000,,,20 370,70 000,,344%,,70 000,,,0,100 000,,
1.4.3.,Парения,,724 280,806 500,107 000,111%,77 500,9 500,9 500,12%,82 000,90 000,9 000,110%,99 500,18 500,-81 000,40 100,45 000,29 000,112%,144 500,47 500,,84 000,95 000,3 500,113%,,20 000,56 000,,28 400,30 000,,106%,56 400,62 000,,110%,129 800,140 000,,108%,28 000,50 000,,179%,140 290,150 000,,107%,57 790,65 000,,112%,,50 000,,
1.4.4.,Панорамная баня,,232 600,513 000,232 000,221%,55 600,26 000,26 000,47%,47 000,33 000,33 000,70%,59 000,59 000,0,10 000,55 000,96 000,550%,114 000,155 000,,10 000,44 000,33 500,440%,,33 000,43 500,,,55 000,,,,44 000,,,50 000,60 000,,120%,,50 000,,,,33 000,,,40 000,50 000,,125%,20 000,30 000,,150%
1.4.5.,Прочие услуги (джакузи),,79 000,155 000,3 000,196%,11 000,3 000,3 000,27%,19 000,15 000,,79%,18 000,3 000,-15 000,3 000,15 000,,500%,33 000,3 000,,3 000,12 000,,400%,0,9 000,,,0,15 000,,,6 000,12 000,,200%,18 000,22 000,,122%,4 000,10 000,,250%,0,12 000,,,9 000,20 000,,222%,6 000,10 000,,167%
