,,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%,,Пл 2026,Фкт 2026,Δ%,Фкт 2025,ΔLY%,Фкт 2024,ΔLLY%
"   RevPag, ₽ (выручка на 1 гостя)",,10 779 ₽,10 816 ₽,"+0,3%",13 479 ₽,"+24,6%",9 628 ₽,"-10,98%",9 890 ₽,7 871 ₽,"-20,4%",9 440 ₽,"+19,9%",7 101 ₽,"-9,78%",8 148 ₽,7 756 ₽,"-4,8%",8 998 ₽,"+16,0%",6 943 ₽,"-10,48%",8 153 ₽,8 072 ₽,"-1,0%",8 240 ₽,"+2,1%",8 229 ₽,"1,95%",9 557 ₽,10 414 ₽,"+9,0%",9 545 ₽,"-8,3%",10 017 ₽,"-3,81%",11 315 ₽,#DIV/0!,#DIV/0!,12 621 ₽,#DIV/0!,16 116 ₽,#DIV/0!,12 147 ₽,#DIV/0!,#DIV/0!,10 894 ₽,#DIV/0!,10 921 ₽,#DIV/0!,14 090 ₽,#DIV/0!,#DIV/0!,12 242 ₽,#DIV/0!,11 701 ₽,#DIV/0!,12 556 ₽,#DIV/0!,#DIV/0!,10 869 ₽,#DIV/0!,11 671 ₽,#DIV/0!,9 086 ₽,#DIV/0!,#DIV/0!,8 608 ₽,#DIV/0!,8 963 ₽,#DIV/0!,9 051 ₽,#DIV/0!,#DIV/0!,7 881 ₽,#DIV/0!,8 709 ₽,#DIV/0!,10 487 ₽,#DIV/0!,#DIV/0!,9 749 ₽,#DIV/0!,13 660 ₽,#DIV/0!,,10 790 ₽,10 329 ₽,"-4,3%",10 441 ₽,"+1,1%",10 517 ₽,"1,81%"
"  RevPAR, ₽ (доход от номеров на доступные номера в месяц)",,5 699 ₽,5 732 ₽,"+0,6%",5 299 ₽,"-7,6%",5 024 ₽,"-12,36%",4 811 ₽,3 967 ₽,"-17,5%",4 159 ₽,"+4,9%",5 142 ₽,"29,63%",4 408 ₽,3 500 ₽,"-20,6%",3 512 ₽,"+0,4%",3 948 ₽,"12,81%",4 236 ₽,4 073 ₽,"-3,9%",3 113 ₽,"-23,6%",5 088 ₽,"24,91%",7 792 ₽,5 016 ₽,"-35,6%",6 249 ₽,"+24,6%",5 361 ₽,"6,88%",11 198 ₽,#DIV/0!,#DIV/0!,7 850 ₽,#DIV/0!,10 221 ₽,#DIV/0!,13 388 ₽,#DIV/0!,#DIV/0!,11 065 ₽,#DIV/0!,11 041 ₽,#DIV/0!,13 279 ₽,#DIV/0!,#DIV/0!,11 541 ₽,#DIV/0!,10 753 ₽,#DIV/0!,9 303 ₽,#DIV/0!,#DIV/0!,6 329 ₽,#DIV/0!,5 756 ₽,#DIV/0!,6 756 ₽,#DIV/0!,#DIV/0!,4 996 ₽,#DIV/0!,4 848 ₽,#DIV/0!,7 104 ₽,#DIV/0!,#DIV/0!,4 824 ₽,#DIV/0!,4 394 ₽,#DIV/0!,9 175 ₽,#DIV/0!,#DIV/0!,4 825 ₽,#DIV/0!,5 092 ₽,#DIV/0!,,8 294 ₽,5 584 ₽,"-32,7%",6 162 ₽,"+10,4%",6 477 ₽,"16,00%"
"  GOP PAR (EBITDA на доступные номера), ₽",,-2 236 ₽,-2 636 ₽,"+17,9%",725 ₽,"-127,5%",867 ₽,"-132,89%",-3 844 ₽,-4 229 ₽,"+10,0%",-1 454 ₽,"-65,6%",743 ₽,"-117,58%",-2 395 ₽,-2 207 ₽,"-7,8%",335 ₽,"-115,2%",468 ₽,"-121,19%",-3 139 ₽,-3 898 ₽,"+24,2%",-2 641 ₽,"-32,3%",1 456 ₽,"-137,36%",865 ₽,1 120 ₽,"+29,5%",1 080 ₽,"-3,6%",3 276 ₽,"192,58%",5 756 ₽,#DIV/0!,#DIV/0!,3 402 ₽,#DIV/0!,10 435 ₽,#DIV/0!,9 050 ₽,#DIV/0!,#DIV/0!,7 965 ₽,#DIV/0!,9 185 ₽,#DIV/0!,9 694 ₽,#DIV/0!,#DIV/0!,6 870 ₽,#DIV/0!,8 845 ₽,#DIV/0!,3 567 ₽,#DIV/0!,#DIV/0!,-2 953 ₽,#DIV/0!,2 394 ₽,#DIV/0!,280 ₽,#DIV/0!,#DIV/0!,-3 499 ₽,#DIV/0!,158 ₽,#DIV/0!,795 ₽,#DIV/0!,#DIV/0!,-2 415 ₽,#DIV/0!,-850 ₽,#DIV/0!,1 487 ₽,#DIV/0!,#DIV/0!,-6 289 ₽,#DIV/0!,-5 858 ₽,#DIV/0!,,1 942 ₽,-1 024 ₽,"-152,8%",231 ₽,"-122,5%",2 789 ₽,"-372,27%"
"  TRevPAR (общ. выручка на доступные номера), ₽",,9 769 ₽,9 801 ₽,"+0,3%",9 321 ₽,"-4,9%",7 140 ₽,"-27,15%",8 035 ₽,6 892 ₽,"-14,2%",6 884 ₽,"-0,1%",7 295 ₽,"5,84%",7 821 ₽,6 685 ₽,"-14,5%",6 693 ₽,"+0,1%",6 434 ₽,"-3,76%",7 268 ₽,7 222 ₽,"-0,6%",6 041 ₽,"-16,4%",8 145 ₽,"12,78%",12 331 ₽,8 892 ₽,"-27,9%",11 090 ₽,"+24,7%",10 083 ₽,"13,40%",18 056 ₽,#DIV/0!,#DIV/0!,14 582 ₽,#DIV/0!,20 281 ₽,#DIV/0!,22 286 ₽,#DIV/0!,#DIV/0!,19 266 ₽,#DIV/0!,19 949 ₽,#DIV/0!,22 308 ₽,#DIV/0!,#DIV/0!,19 559 ₽,#DIV/0!,18 762 ₽,#DIV/0!,15 067 ₽,#DIV/0!,#DIV/0!,10 751 ₽,#DIV/0!,10 764 ₽,#DIV/0!,10 146 ₽,#DIV/0!,#DIV/0!,7 983 ₽,#DIV/0!,7 425 ₽,#DIV/0!,10 443 ₽,#DIV/0!,#DIV/0!,7 598 ₽,#DIV/0!,7 007 ₽,#DIV/0!,13 011 ₽,#DIV/0!,#DIV/0!,7 162 ₽,#DIV/0!,8 023 ₽,#DIV/0!,,13 316 ₽,9 052 ₽,"-32,0%",10 624 ₽,"+17,4%",11 133 ₽,"22,99%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  💰  ВЫРУЧКА (Revenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Номерной фонд,,6 866 974 ₽,6 907 101 ₽,"+0,6%",8 605 584 ₽,"-19,7%",7 078 315 ₽,"-2,4%",5 388 000 ₽,4 529 862 ₽,"-15,9%",6 005 876 ₽,"-24,6%",7 157 490 ₽,"-36,7%",5 603 000 ₽,4 892 307 ₽,"-12,7%",5 703 249 ₽,"-14,2%",6 138 606 ₽,"-20,3%",5 465 000 ₽,3 987 510 ₽,"-27,0%",4 700 320 ₽,"-15,2%",7 479 094 ₽,"-46,7%",10 870 000 ₽,7 413 720 ₽,"-31,8%",8 961 624 ₽,"-17,3%",8 111 165 ₽,"-8,6%",15 788 915 ₽,6 900 000 ₽,"-56,3%",10 361 347 ₽,"-33,4%",15 698 903 ₽,"-56,0%",19 680 000 ₽,,"-100,0%",16 873 534 ₽,"-100,0%",18 350 368 ₽,"-100,0%",20 582 000 ₽,,"-100,0%",17 727 048 ₽,"-100,0%",16 999 981 ₽,"-100,0%",13 955 000 ₽,,"-100,0%",8 803 544 ₽,"-100,0%",8 881 390 ₽,"-100,0%",10 890 000 ₽,,"-100,0%",6 879 427 ₽,"-100,0%",7 683 520 ₽,"-100,0%",11 083 000 ₽,,"-100,0%",6 319 461 ₽,"-100,0%",6 274 399 ₽,"-100,0%",14 790 000 ₽,,"-100,0%",6 345 487 ₽,"-100,0%",6 823 439 ₽,"-100,0%",,"140 961 889,0","34 630 500,0","-75,4%","107 286 501,0","-67,7%","116 676 670,0","-70,3%"
    F&B,,3 771 249 ₽,3 771 249 ₽,-,4 721 628 ₽,"-20,1%",2 809 811 ₽,"+34,2%",2 585 000 ₽,2 476 713 ₽,"-4,2%",2 583 792 ₽,"-4,1%",2 862 082 ₽,"-13,5%",3 350 000 ₽,3 474 438 ₽,"+3,7%",4 017 449 ₽,"-13,5%",2 937 318 ₽,"+18,3%",2 950 000 ₽,2 294 873 ₽,"-22,2%",3 523 021 ₽,"-34,9%",3 421 791 ₽,"-32,9%",4 910 000 ₽,4 052 282 ₽,"-17,5%",5 625 015 ₽,"-28,0%",5 826 649 ₽,"-30,5%",7 540 000 ₽,,"-100,0%",7 549 070 ₽,"-100,0%",13 062 982 ₽,"-100,0%",9 820 800 ₽,,"-100,0%",10 233 617 ₽,"-100,0%",11 988 405 ₽,"-100,0%",10 980 000 ₽,,"-100,0%",10 218 271 ₽,"-100,0%",11 096 162 ₽,"-100,0%",7 105 000 ₽,,"-100,0%",5 206 564 ₽,"-100,0%",6 702 728 ₽,"-100,0%",4 155 000 ₽,,"-100,0%",3 125 971 ₽,"-100,0%",3 411 636 ₽,"-100,0%",3 955 000 ₽,,"-100,0%",2 688 288 ₽,"-100,0%",2 979 683 ₽,"-100,0%",4 900 000 ₽,,"-100,0%",2 440 100 ₽,"-100,0%",2 740 018 ₽,"-100,0%",,"66 022 049,0","16 069 555,0","-75,7%","61 932 786,0","-74,1%","69 839 265,0","-77,0%"
    СПА ,,1 028 100 ₽,1 028 100 ₽,-,1 774 300 ₽,"-42,1%",78 800 ₽,"+1204,7%",998 000 ₽,794 400 ₽,"-20,4%",1 315 550 ₽,"-39,6%",71 500 ₽,"+1011,0%",935 000 ₽,880 600 ₽,"-5,8%",1 141 200 ₽,"-22,8%",783 400 ₽,"+12,4%",906 000 ₽,700 200 ₽,"-22,7%",879 800 ₽,"-20,4%",987 600 ₽,"-29,1%",1 232 000 ₽,1 111 900 ₽,"-9,7%",1 280 900 ₽,"-13,2%",1 174 300 ₽,"-5,3%",1 520 000 ₽,,"-100,0%",1 276 600 ₽,"-100,0%",2 107 850 ₽,"-100,0%",2 388 000 ₽,,"-100,0%",2 142 600 ₽,"-100,0%",2 442 700 ₽,"-100,0%",2 250 000 ₽,,"-100,0%",1 959 700 ₽,"-100,0%",1 239 100 ₽,"-100,0%",1 290 000 ₽,,"-100,0%",909 000 ₽,"-100,0%",877 200 ₽,"-100,0%",1 240 000 ₽,,"-100,0%",955 760 ₽,"-100,0%",603 200 ₽,"-100,0%",1 145 000 ₽,,"-100,0%",850 690 ₽,"-100,0%",701 500 ₽,"-100,0%",1 180 000 ₽,,"-100,0%",602 600 ₽,"-100,0%",1 093 700 ₽,"-100,0%",,"16 112 100,0","4 515 200,0","-72,0%","15 088 700,0","-70,1%","12 160 850,0","-62,9%"
"    Прочее (аренда, доп. услуги)",,104 750 ₽,104 200 ₽,"-0,5%",35 500 ₽,"+193,5%",93 970 ₽,"+10,9%",28 500 ₽,69 550 ₽,"+144,0%",34 600 ₽,"+101,0%",62 966 ₽,"+10,5%",53 000 ₽,98 600 ₽,"+86,0%",8 100 ₽,"+1117,3%",145 760 ₽,"-32,4%",55 000 ₽,88 150 ₽,"+60,3%",18 240 ₽,"+383,3%",84 800 ₽,"+4,0%",190 200 ₽,564 250 ₽,"+196,7%",35 031 ₽,"+1510,7%",143 800 ₽,"+292,4%",610 000 ₽,,"-100,0%",60 672 ₽,"-100,0%",282 506 ₽,"-100,0%",871 500 ₽,,"-100,0%",131 160 ₽,"-100,0%",374 356 ₽,"-100,0%",765 000 ₽,,"-100,0%",137 161 ₽,"-100,0%",327 850 ₽,"-100,0%",250 000 ₽,,"-100,0%",36 000 ₽,"-100,0%",146 900 ₽,"-100,0%",70 000 ₽,,"-100,0%",31 800 ₽,"-100,0%",70 250 ₽,"-100,0%",108 000 ₽,,"-100,0%",95 471 ₽,"-100,0%",51 100 ₽,"-100,0%",103 000 ₽,,"-100,0%",29 650 ₽,"-100,0%",93 600 ₽,"-100,0%",,"3 208 950,0","924 750,0","-71,2%","653 385,0","+41,5%","1 877 858,0","-50,8%"
