Акты списания,,,,,,,
За период: с 01.01.2026 по 31.01.2026 ,,,,,,,
,,,,,,,
Дата,Тип,№  документа,Товары,"Сумма, р.",Проведен,Склад,Счет списания
12.01.2026 23:00,Р,0038,"Тигровые креветки т, Горошек зеленый с/м","522,68",Да,Склад Кухня,Порча продуктов
19.01.2026 23:00,Р,0071,"Тигровые креветки т, Баклажан, Кабачок, Томаты Черри, Сыр Маасдам 45%","1 713,19",Да,Склад Кухня,Порча продуктов
23.01.2026 23:00,Р,0090,"Сыр Блю чиз с голубой плесенью, Грибы Вешенки","929,06",Да,Склад Кухня,Порча продуктов
,,3,,"Итого: 3 164,93",,,
