Акты списания,,,,,,,,
За период: с 01.01.2026 по 31.01.2026 ,,,,,,,,
,,,,,,,,
Дата,Тип,№  документа,Товары,"Сумма, р.",Проведен,Склад,Комментарий,Счет списания
15.01.2026 23:00,АЗ,0040,"Куриная грудка с овощами гриль, Трюфельный бефстроганов из телячей вырезки, Листья романо с цитрусами, филе лосося и авокадо, Царская уха с лососем","1 397,68",Да,Склад Кухня,Создано на терминале Касса (WIN-543F3AC3219) 15.01.2026. Номер: {3},Представительские
15.01.2026 23:00,АЗ,0041,чай черная смородина-чабрец,"96,83",Да,Склад Бар,Создано на терминале Касса (WIN-543F3AC3219) 15.01.2026. Номер: {3},Представительские
,,2,,"Итого: 1 494,51",,,,
