Акты списания,,,,,,,
За период: с 01.01.2026 по 31.01.2026 ,,,,,,,
,,,,,,,
Дата,Тип,№  документа,Товары,"Сумма, р.",Проведен,Склад,Счет списания
24.01.2026 23:00,Р,0091,"Фарш говядина, Лук репчатый, Макароны/спагетти, ПФ Бульон куриный, Крупа перловая, Огурец соленый , Паста томатная","3 563,32",Да,Склад Кухня,Расход Питание сотрудников
25.01.2026 23:00,Р,0094,"Куриное бедро филе без кожи , Капуста БК, Картофель свежий, Морковь свежая, Лук репчатый, ПФ Бульон куриный, Куриная тушка, Макароны/спагетти, Соль, Соус Соевый, Соус Унаги, Масло растительное","3 152,54",Да,Склад Кухня,Расход Питание сотрудников
26.01.2026 23:00,Р,0100,"Свекла свежая, Паста томатная, Уксус столовый, Соль, Сахар-песок, Блинчики без начинки с/м, Фарш говядина, Морковь свежая, Лук репчатый","3 558,54",Да,Склад Кухня,Расход Питание сотрудников
27.01.2026 23:00,Р,0108,"Крупа рис, Лапша домашняя яичная, Морковь свежая, Лук репчатый, Куриная грудка филе, Горошек зеленый с/м, Кукуруза зерно с/м, Картофель свежий, Майонез, Масло растительное","3 168,09",Да,Склад Кухня,Расход Питание сотрудников
28.01.2026 23:00,Р,0131,"Картофель свежий, Мука пшенич., Фарш говядина, Лук репчатый, Морковь свежая, Паста томатная, Уксус столовый, Крупа гречка, Масло сливочное 82,5%, ПФ борщ, ПФ Бульон куриный, Куриная грудка филе, Кабачок","6 482,46",Да,Склад Кухня,Расход Питание сотрудников
29.01.2026 23:00,Р,0134,"Куриная тушка, Картофель свежий, Паприка красная копченая , Масло растительное, Крупа рис, Майонез, Куриное бедро филе без кожи , Соус Соевый, Соус Унаги","2 611,79",Да,Склад Кухня,Расход Питание сотрудников
30.01.2026 23:00,Р,0145,"Сыр Гауда 50%, Огурец свежий, Сыр Маасдам 45%, Макароны/спагетти, Фарш говядина, Морковь свежая, Паста томатная, Крупа рис, ПФ Бульон куриный","4 257,25",Да,Склад Кухня,Расход Питание сотрудников
,,30,,"Итого: 126 048,07",,,
,,,,"4066,07",сумма в день,,
,,,,"81,32",сумма на сотрудника в день,,
